tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
50513	400.0	40.0	4559.0	51.0	1.0	Mate in 1	https://lichess.org/analysis/r7/pp1Q1k2/2p2r2/4ppq1/8/7R/PPP1N1P1/5K2_b_-_-	Mate in 1	9	5	2
78904	2763.0	42.47	5410.0	54.0	1.0	Back Rank,Decoy / Deflection,Fork / Double Attack,Interference,Remove the Defender,Sacrifice	https://lichess.org/analysis/7k/1pQ3pp/2p5/8/pq3r2/7P/6PK/3R4_b_-_-_0_1	Interference	4	4	18
153124	1276.0	45.03	63334.0	67.0	3.0	Mate in 3+,Mating Net	https://lichess.org/analysis/7r/3k2b1/p2p2p1/1ppP1q2/4p3/P1N5/1PP2PP1/R2Q1RK1_w_-_-	Mating Net	2	8	11
363011	961.0	44.48	54584.0	38.0	2.0	Basic Checkmates,Mate in 2	https://lichess.org/analysis/1k5r/p1p2rp1/1p1pN2q/PP2p2p/1Q2P2n/2PP4/B4P2/1R2KR2_w_-_-	Basic Checkmates	15	4	6
78335	1940.0	45.05	36536.0	33.0	1.0	Back Rank,Hanging Piece	https://lichess.org/analysis/r1bqkbnr/ppp4p/2n1p1N1/3pp2Q/3P4/8/PPP2PPP/RNB1KB1R_b_KQkq_-	Back Rank	4	9	19
29338	2267.0	44.95	43377.0	293.0	3.0	Mating Net	https://lichess.org/analysis/4R3/B1kr2p1/p4p2/6p1/1R6/1PPb1P2/6PK/3r4_b_-_-	Mating Net	4	9	18
108319	609.0	43.4	37104.0	68.0	3.0	Back Rank,Fork / Double Attack	https://lichess.org/analysis/3r3k/4n1pp/1q3p2/pp2pP2/4P3/1BP4Q/PP4PP/3r1R1K_w_-_-	Back Rank	18	20	3
187310	1172.0	45.84	62596.0	53.0	3.0	Desperado,Hanging Piece,Simplification,Zwischenzug	https://lichess.org/analysis/2r2rk1/4ppn1/p2p1bp1/3B4/PQ2P1P1/4BP2/1PqR4/R5K1_b_-_-	Desperado	14	6	13
36714	1537.0	45.17	52632.0	37.0	2.0	Discovered Attack,Hanging Piece,Sacrifice	https://lichess.org/analysis/5rk1/5p2/3N1b2/4n2p/1q2BQ2/1P5P/6P1/3R3K_b_-_-	Sacrifice	5	9	10
67423	400.0	40.18	4824.0	58.0	1.0	Mate in 1	https://lichess.org/analysis/7k/pQ5p/2np1ppB/4q3/8/7P/PP3PP1/6K1_b_-_-	Mate in 1	9	5	2
44340	2328.0	44.53	18410.0	106.0	8.0	Decoy / Deflection,Endgame Tactics,Pawn Promotion,Skewer	https://lichess.org/analysis/8/2Pn4/8/3k4/K6p/p5R1/8/B7_b_-_-	Skewer	4	1	18
65853	1563.0	44.99	53914.0	41.0	1.0	Attacking f7/f2,Fork / Double Attack	https://lichess.org/analysis/3q2k1/1pR2p1p/1Pb1p1p1/3pP3/3Q4/6P1/4BPKP/1r6_b_-_-	Attacking f7/f2	5	9	10
36698	1894.0	45.0	30106.0	85.0	4.0	Endgame Tactics,Overloading,Pawn Promotion	https://lichess.org/analysis/8/p4pk1/1p4p1/3P3p/P1P1q2P/2P3P1/3Q2RK/4r3_b_-_-	Overloading	4	1	20
150168	1994.0	44.74	28253.0	90.0	2.0	Defense,Hanging Piece,Overloading,Pin,Trapped Piece	https://lichess.org/analysis/rq2k2r/p2nbpp1/1p1p1n1p/1NpP4/2P2B1N/P7/1P2QPPP/R3K2R_b_KQkq_-	Overloading	4	1	20
66726	400.0	40.0	4627.0	29.0	1.0	Mate in 1	https://lichess.org/analysis/rn2kbnr/1p6/p7/3ppp2/3P3q/2N2Pp1/PPP1B1P1/R1BQR1K1_w_kq_-	Mate in 1	9	4	2
57297	419.0	40.97	23792.0	31.0	1.0	Mate in 1	https://lichess.org/analysis/1r6/1N2r2p/p5p1/8/1Rp5/k1P2P2/6PP/1R4K1_b_-_-	Mate in 1	9	12	2
